id	formattedAddress	zipCode	county	latitude	longitude	propertyType	bedrooms	bathrooms	squareFootage	lotSize	yearBuilt	hoaFee	status	price	price_per_sqft	listedDate	removedDate	lastSeenDate	daysOnMarket	builderName	subdivision	mlsName	roomCount	floorCount	garage	garageSpaces	pool	fireplace	cooling	coolingType	heating	heatingType	exteriorType	foundationType	architectureType	pulled_at
3100-Swanson-Dr,-El-Paso,-TX-79904	3100 Swanson Dr, El Paso, TX 79904	79904	El Paso	31.865677	-106.459623	Land				460429			Active	3500000		2025-08-08T00:00:00.000Z		2026-08-12T11:21:59.629Z	369			Elpaso														8/12/2026
10-Darrington,-El-Paso,-TX-79928	10 Darrington, El Paso, TX 79928	79928	El Paso	31.652223	-106.176882	Land				12197			Active	65000		2025-08-19T00:00:00.000Z		2026-08-12T11:21:59.629Z	358			Elpaso														8/12/2026
Faith-Rd,-El-Paso,-TX-79938	Faith Rd, El Paso, TX 79938	79938	El Paso	31.856121	-106.147248	Land				436471			Active	225000		2025-08-25T00:00:00.000Z		2026-08-12T11:21:59.628Z	352			Elpaso														8/12/2026
15156-Destination-Ave,-El-Paso,-TX-79938	15156 Destination Ave, El Paso, TX 79938	79938	El Paso	31.807803	-106.193321	Single Family	4	2	1522	5227	2025		Active	284950	187.22	2025-08-25T00:00:00.000Z		2026-08-12T11:21:59.627Z	352			Elpaso														8/12/2026
1-Nauni-Dr,-El-Paso,-TX-79928	1 Nauni Dr, El Paso, TX 79928	79928	El Paso	31.687643	-106.13922	Land				10890			Active	11250		2025-09-24T00:00:00.000Z		2026-08-12T11:21:54.494Z	322			Elpaso														8/12/2026
12392-Polo-Norte-Dr,-El-Paso,-TX-79934	12392 Polo Norte Dr, El Paso, TX 79934	79934	El Paso	31.967732	-106.349981	Single Family	4	1	1675	5227	2025		Active	276000	164.78	2025-09-24T00:00:00.000Z		2026-08-12T11:21:54.493Z	322			Elpaso														8/12/2026
14380-Bill-Lazor-Pkwy,-El-Paso,-TX-79928	14380 Bill Lazor Pkwy, El Paso, TX 79928	79928	El Paso	31.690409	-106.182693	Single Family	4	2	1473	4356	2025		Active	279950	190.05	2025-08-28T00:00:00.000Z		2026-08-12T11:21:54.485Z	349			Elpaso														8/12/2026
13720-Harbottle-St,-El-Paso,-TX-79928	13720 Harbottle St, El Paso, TX 79928	79928	El Paso	31.709767	-106.214974	Single Family	3	2.5	2492	7841	2022		Active	299000	119.98	2025-08-29T00:00:00.000Z		2026-08-12T11:21:54.484Z	348			Elpaso														8/12/2026
12440-Fill-Ball-Pl,-El-Paso,-TX-79928	12440 Fill Ball Pl, El Paso, TX 79928	79928	El Paso	31.747684	-106.258559	Single Family	5	3.5	2704	5663	2026		Active	399950	147.91	2025-08-30T00:00:00.000Z		2026-08-12T11:21:54.482Z	347			Elpaso														8/12/2026
12434-Fill-Ball-St,-El-Paso,-TX-79928	12434 Fill Ball St, El Paso, TX 79928	79928	El Paso	31.753333	-106.254886	Single Family	5	2.5	2348	5663	2025		Active	399950	170.34	2025-08-30T00:00:00.000Z		2026-08-12T11:21:54.481Z	347			Elpaso														8/12/2026
12406-Fill-Ball-St,-El-Paso,-TX-79928	12406 Fill Ball St, El Paso, TX 79928	79928	El Paso	31.747641	-106.261404	Single Family	5	2.5	2348	5663	2025		Active	399950	170.34	2025-08-30T00:00:00.000Z		2026-08-12T11:21:54.481Z	347			Elpaso														8/12/2026
12422-Fill-Ball-St,-El-Paso,-TX-79928	12422 Fill Ball St, El Paso, TX 79928	79928	El Paso	31.75333	-106.25174	Single Family	5	2.5	2348	5663	2025		Active	399950	170.34	2025-08-30T00:00:00.000Z		2026-08-12T11:21:54.480Z	347			Elpaso														8/12/2026
12404-Fill-Ball-St,-El-Paso,-TX-79928	12404 Fill Ball St, El Paso, TX 79928	79928	El Paso	31.747649	-106.261453	Single Family	6	3.5	3278	5227	2026		Active	469950	143.36	2025-08-30T00:00:00.000Z		2026-08-12T11:21:54.479Z	347			Elpaso														8/12/2026
12420-Fill-Ball,-El-Paso,-TX-79928	12420 Fill Ball, El Paso, TX 79928	79928	El Paso	31.75074	-106.261864	Single Family	5	2.5	2704	5663	2026		Active	394950	146.06	2025-08-30T00:00:00.000Z		2026-08-12T11:21:54.477Z	347			Elpaso														8/12/2026
12438-Fill-Ball-St,-El-Paso,-TX-79928	12438 Fill Ball St, El Paso, TX 79928	79928	El Paso	31.747871	-106.259257	Single Family	5	3.5	2348	5663	2026		Active	399950	170.34	2025-08-31T00:00:00.000Z		2026-08-12T11:21:54.465Z	346			Elpaso														8/12/2026
Laura-Ln,-El-Paso,-TX-79938	Laura Ln, El Paso, TX 79938	79938	El Paso	31.809559	-106.20522	Land				87120			Active	199950		2025-08-31T00:00:00.000Z		2026-08-12T11:21:54.464Z	346			Elpaso														8/12/2026
12424-Fill-Ball-St,-El-Paso,-TX-79928	12424 Fill Ball St, El Paso, TX 79928	79928	El Paso	31.748969	-106.259504	Single Family	5	2.5	2348	5663	2025		Active	404950	172.47	2025-08-31T00:00:00.000Z		2026-08-12T11:21:54.464Z	346			Elpaso														8/12/2026
13309-Jeff-Winton-Dr,-El-Paso,-TX-79928	13309 Jeff Winton Dr, El Paso, TX 79928	79928	El Paso	31.686945	-106.226501	Single Family	4	2	2265	6970	2026		Active	459950	203.07	2025-09-01T00:00:00.000Z		2026-08-12T11:21:54.463Z	345			Elpaso														8/12/2026
7317-Sidewinder-Bend-Dr,-El-Paso,-TX-79911	7317 Sidewinder Bend Dr, El Paso, TX 79911	79911	El Paso	31.89519	-106.558886	Single Family	4	3	2800	13068	2026		Active	700000	250	2025-09-01T00:00:00.000Z		2026-08-12T11:21:54.461Z	345			Elpaso														8/12/2026
13989-Summer-Hail-Ave,-El-Paso,-TX-79928	13989 Summer Hail Ave, El Paso, TX 79928	79928	El Paso	31.724076	-106.203507	Single Family	3	2	1625	5227	2026		Active	299950	184.58	2025-09-01T00:00:00.000Z		2026-08-12T11:21:54.460Z	345			Elpaso														8/12/2026
4930-Vulcan-Ave,-El-Paso,-TX-79904	4930 Vulcan Ave, El Paso, TX 79904	79904	El Paso	31.849949	-106.424451	Single Family	2	1	1498	16117	1979		Active	179000	119.49	2025-09-04T00:00:00.000Z		2026-08-12T11:21:54.459Z	342			Elpaso														8/12/2026
14747-Van-Fleet-Rd,-El-Paso,-TX-79938	14747 Van Fleet Rd, El Paso, TX 79938	79938	El Paso	31.857021	-106.169019	Land				239580			Active	139950		2025-09-06T00:00:00.000Z		2026-08-12T11:21:54.459Z	340			Elpaso														8/12/2026
15652-Rosario-Dr,-El-Paso,-TX-79938	15652 Rosario Dr, El Paso, TX 79938	79938	El Paso	31.817723	-106.135501	Land				217800			Active	65000		2025-09-06T00:00:00.000Z		2026-08-12T11:21:54.458Z	340			Elpaso														8/12/2026
2174-Indian-Trl,-El-Paso,-TX-79938	2174 Indian Trl, El Paso, TX 79938	79938	El Paso	31.615112	-106.058388	Land				217800			Active	65000		2025-09-08T00:00:00.000Z		2026-08-12T11:21:54.457Z	338			Elpaso														8/12/2026
6400-N-Strahan-Rd,-El-Paso,-TX-79932	6400 N Strahan Rd, El Paso, TX 79932	79932	El Paso	31.886171	-106.605262	Single Family	4	3	2979	16988	2024		Active	1039950	349.09	2025-09-09T00:00:00.000Z		2026-08-12T11:21:54.457Z	337			Elpaso														8/12/2026
14001-Windermere-Ave,-El-Paso,-TX-79928	14001 Windermere Ave, El Paso, TX 79928	79928	El Paso	31.755241	-106.235161	Land				435600			Active	1350000		2025-09-09T00:00:00.000Z		2026-08-12T11:21:54.452Z	337			Elpaso														8/12/2026
2425-Fir-St,-El-Paso,-TX-79925	2425 Fir St, El Paso, TX 79925	79925	El Paso	31.774701	-106.355507	Single Family	4	2	2354	8712	1963		Active	335000	142.31	2025-09-10T00:00:00.000Z		2026-08-12T11:21:54.452Z	336			Elpaso														8/12/2026
9708-Calle-Cancun-St,-El-Paso,-TX-79927	9708 Calle Cancun St, El Paso, TX 79927	79927	El Paso	31.645424	-106.273867	Single Family	4	3	2015	6098	2026		Active	379950	188.56	2025-09-10T00:00:00.000Z		2026-08-12T11:21:54.451Z	336			Elpaso														8/12/2026
9720-Calle-Cancun-St,-El-Paso,-TX-79927	9720 Calle Cancun St, El Paso, TX 79927	79927	El Paso	31.645424	-106.273867	Single Family	4	2.5	2107	6098	2026		Active	379950	180.33	2025-09-10T00:00:00.000Z		2026-08-12T11:21:54.450Z	336			Elpaso														8/12/2026
9716-Calle-Cancun-St,-El-Paso,-TX-79927	9716 Calle Cancun St, El Paso, TX 79927	79927	El Paso	31.645424	-106.273867	Single Family	4	3	2015	6098	2026		Active	379950	188.56	2025-09-10T00:00:00.000Z		2026-08-12T11:21:54.449Z	336			Elpaso														8/12/2026
9712-Calle-Cancun-St,-El-Paso,-TX-79927	9712 Calle Cancun St, El Paso, TX 79927	79927	El Paso	31.645424	-106.273867	Single Family	5	3.5	2837	6098	2026		Active	439950	155.08	2025-09-10T00:00:00.000Z		2026-08-12T11:21:54.446Z	336			Elpaso														8/12/2026
9724-Calle-Cancun-St,-El-Paso,-TX-79927	9724 Calle Cancun St, El Paso, TX 79927	79927	El Paso	31.645424	-106.273867	Single Family	4	3	2015	6098	2025		Active	379950	188.56	2025-09-11T00:00:00.000Z		2026-08-12T11:21:54.445Z	335			Elpaso														8/12/2026
1826-Espy-Gamboa-Dr,-El-Paso,-TX-79928	1826 Espy Gamboa Dr, El Paso, TX 79928	79928	El Paso	31.747584	-106.260136	Single Family	5	3.5	2837	6098	2025		Active	439950	155.08	2025-09-11T00:00:00.000Z		2026-08-12T11:21:54.444Z	335			Elpaso														8/12/2026
813-Harpendem-Dr,-El-Paso,-TX-79928	813 Harpendem Dr, El Paso, TX 79928	79928	El Paso	31.70893	-106.2252	Single Family	4	2	1844	5227	2026	60	Active	376950	204.42	2025-09-11T00:00:00.000Z		2026-08-12T11:21:54.444Z	335			Elpaso														8/12/2026
12431-Carter-Cash-Ct-St,-El-Paso,-TX-79928	12431 Carter Cash Ct St, El Paso, TX 79928	79928	El Paso	31.746713	-106.261824	Single Family	5	3.5	2610	6098	2025		Active	429950	164.73	2025-09-11T00:00:00.000Z		2026-08-12T11:21:54.443Z	335			Elpaso														8/12/2026
12427-Carter-Cash-Ct,-El-Paso,-TX-79928	12427 Carter Cash Ct, El Paso, TX 79928	79928	El Paso	31.73213	-106.261852	Single Family	4	2.5	1913	6098	2025		Active	369950	193.39	2025-09-11T00:00:00.000Z		2026-08-12T11:21:54.442Z	335			Elpaso														8/12/2026
1828-Espy-Gamboa-Dr,-El-Paso,-TX-79928	1828 Espy Gamboa Dr, El Paso, TX 79928	79928	El Paso	31.731019	-106.264645	Single Family	4	2.5	1913	6098	2025		Active	369950	193.39	2025-09-11T00:00:00.000Z		2026-08-12T11:21:54.442Z	335			Elpaso														8/12/2026
12433-Carter-Cash-Ct,-El-Paso,-TX-79928	12433 Carter Cash Ct, El Paso, TX 79928	79928	El Paso	31.745123	-106.265114	Single Family	4	2.5	1913	6098	2025		Active	369950	193.39	2025-09-11T00:00:00.000Z		2026-08-12T11:21:54.441Z	335			Elpaso														8/12/2026
13800-Laura-Ln,-El-Paso,-TX-79938	13800 Laura Ln, El Paso, TX 79938	79938	El Paso	31.809384	-106.204284	Land				87120			Active	227900		2025-09-19T00:00:00.000Z		2026-08-12T11:21:54.440Z	327			Elpaso														8/12/2026
4809-Vista-Del-Monte-St,-El-Paso,-TX-79922	4809 Vista Del Monte St, El Paso, TX 79922	79922	El Paso	31.830167	-106.596367	Land	4	4	3685	37026			Active	950000	257.8	2025-09-20T00:00:00.000Z		2026-08-12T11:21:54.439Z	326			Elpaso														8/12/2026
15169-Conviction-Ave,-El-Paso,-TX-79938	15169 Conviction Ave, El Paso, TX 79938	79938	El Paso	31.810869	-106.195387	Single Family	5	2.5	2825	5227	2026		Active	394950	139.81	2025-09-22T00:00:00.000Z		2026-08-12T11:21:54.438Z	324			Elpaso														8/12/2026
15525-Aurora-Hickerson-St,-El-Paso,-TX-79938	15525 Aurora Hickerson St, El Paso, TX 79938	79938	El Paso	31.84944	-106.135777	Land				44431			Active	48000		2025-09-23T00:00:00.000Z		2026-08-12T11:21:54.438Z	323			Elpaso														8/12/2026
